,Tweet,Date,User
97,"With Technology playing a key role in all careers today, learning tech skills from infancy will set girls up for economic independence and empowerment.

Cognizant of this need, and the fact that STEM and ICT work together, FUNIC has always offered a STEM scholarship for girls.",2022-04-28 12:01:31+00:00,funiccameroon
98,"Want to learn how to bring #videoproduction and #storytelling to your classroom? SRL @ReportingLabs is excited to host its annual free workshop in Denver! 
Lodging and travel are not included, although limited scholarships are available.

Learn more: https://t.co/UgbdhY22tS https://t.co/h9zzGYSzke",2022-04-28 12:01:22+00:00,EducPlus
99,"2022 Friedrich Ebert Foundation Scholarship for International Students (Germany). 

Deadline: October 31, 2021  

https://t.co/kzVTxcKCix

2022 Internet Society Mid Career Fellowship

Deadline: May 4, 2022.

https://t.co/ZlF1Xs5qKd",2022-04-28 12:01:20+00:00,folafunmioluwa
100,Travel with a scholarship discount abroad with just academic documents . visit https://t.co/nFw6zhJK6C    the best Educational travel agency for Northern Cyprus universities.,2022-04-28 12:01:18+00:00,kibris9ja
101,"German Teachers: Looking for short, online, professional development trainings? 3 courses from our #DeutschLehrenLernen series start on May 3! Trainings are 8 weeks long w/4 online live meetings. Cost is $200 (scholarships available). More at: https://t.co/deY0JYfD6T #gapp50 https://t.co/If2zl2VA0n",2022-04-28 12:01:18+00:00,GI_NewYork
102,"It's April 28, 2022 at 08:01AM, good morning everyone!! Carpe diem!",2022-04-28 12:01:15+00:00,MBScholarship
103,"Sometimes, receiving a scholarship to YWM2022-Engage simply means being someone who can put themselves first after spending time taking care of others. 

Act now to give someone the support they need. 

https://t.co/PqraTPt7YI. https://t.co/3rMnvDZczY",2022-04-28 12:01:07+00:00,ObesityAction
104,"@ninaturner @MittRomney If you suggest that college is somehow not a “human right” because it costs money and they can’t afford it. That’s an excuse, to subsidize laziness. Work a side job. Work hard in high school to get a scholarship, don’t expect others to work for you. That’s wrong…",2022-04-28 12:00:54+00:00,Mufasstaa
105,@Mommyamygill @redshiftsinger @flotisserie You cant just file for fafsa independently cause you feel like it it doesn't work that way. You have to be 24 iirc or have a dependent. Scholarships have specific requirements not everyone meets and where are the affordable 4yr schools? Even community college costs alot.,2022-04-28 12:00:50+00:00,latexass
106,"Our staff are the heart and soul of our mission. We are thrilled to announce Mecole Darden, Camp Fire First Texas Afterschool Site director, received a FULL SCHOLARSHIP from Texas Rising Star to complete her college degree from Tarrant County Community College! https://t.co/EQx6gJuj0O",2022-04-28 12:00:50+00:00,CampFireFW
107,"If 200 alumni give on Giving Day, an additional $5,000 will be donated to student scholarships thanks to The PJ Moran Foundation. Any size gift counts, so let’s show the power of the Celt Alumni community! https://t.co/ELTt6K4rqU #MilestonesandMiracles #USTGivingDay https://t.co/V0BQkTSt70",2022-04-28 12:00:43+00:00,UST_AlumniHTX
108,@favdasingh Bjp scholarship ase fenk ke Mari gi inki 7 generation yaad rakhi gi 🤬👌,2022-04-28 12:00:41+00:00,COMRADEGOKU061
109,"The final deadline for scholarship applications is almost here! Make sure you’ve made your final edits and submit your application by 5/2/22. We want to make paying for college easier for you! #scholarshipapplication #applyingtocollege
Application: https://t.co/gXHW6V4Cwh https://t.co/I7yqPq0reE",2022-04-28 12:00:34+00:00,AccessCollegeFd
110,"A SUPER Siena family has generously made a $10,000 to The Siena School Scholarship Fund to get the Spring Fundraiser off to a great start! Thank you! #NationalSuperheroDay 

Support Siena Scholars and give today: https://t.co/KokgzT4g8D https://t.co/LYncyHXLJw",2022-04-28 12:00:33+00:00,TheSienaSchool
